DBT1,DBT99,WHITE,BLACK,ASIAN,MIXED,OTHER_RACE,SDESCENT,OVER65,LIVESALONE,LARGEHOUSE,POVERTY,UNEMPLOYED,HIGHSCHOOL,RENT,ELPAY,NGPAY,LPGPAY,FOPAY,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.WALL,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,EQUIPM,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
91.4,25.4,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1979,0.004,0.069,1,2,1.7777777777777777,1,1,1,0,0,8,0,0
87.4,32.1,0,0,1,0,0,0,0,0,0,0,-0.5,0,0,1,1,0,0,0,0,2009,0.024,0.069,2,0,3,2,1,1,0,0,1,0,0
92.9,21.6,1,0,0,0,0,1,0,0,0,0,-0,0,0,1,1,0,0,0,0,1999,0.024,0.001,2,0,1.25,2,1,1,0,0,5,0,0
95.7,29.8,1,0,0,0,0,0,0,0,0,1,-0,0,1,1,0,0,0,1,0,1989,0.004,0,2,0,4,1,1,1,0,0,4,0,0
89.6,-0.2,1,0,0,0,0,0,0,0,0,0,-0,0,0,1,1,0,0,0,0,1989,0,0,3,0,1.5384615384615385,2,1,1,0,0,2,0,0
92.1,30.4,1,0,0,0,0,0,0,0,0,0,-0,0,0,1,0,1,0,0,0,2009,0,0,3,0,2.5,2,1,1,0,0,5,0,0
84.2,0.2,1,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,1999,0.004,0.069,2,0,1.2,2,1,1,1,0,2,0,0
91.1,43,0,1,0,0,0,0,1,0,0,0,-0,0,0,1,0,0,0,0,0,1989,0.024,0.069,2,1,2,1,1,1,0,0,5,0,0
87.6,12.2,1,0,0,0,0,0,0,0,0,0,-0,1,0,1,1,0,0,0,0,1950,0.004,0.069,2,0,2.5,2,1,1,0,0,5,0,0
91.3,17.9,1,0,0,0,0,0,0,1,0,1,-0,0,0,1,0,0,0,0,0,1950,0.004,0.001,1,1,1.7777777777777777,1,0.5,1,0,0,3,0,0
88.4,15.5,0,1,0,0,0,1,0,0,0,1,-1,1,1,1,1,0,0,1,0,1989,0,0,3,1,3.3333333333333335,1,0.5,1,1,0,1,0,0
88,27.3,1,0,0,0,0,0,0,0,0,1,-0.5,0,0,1,0,0,0,0,0,1979,0.013,0.069,2,2,1,2,0.5,1,0,0,4,0,0
87.5,4.9,1,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,0,0,0,1999,0,0,3,0,4,2,0.5,1,0,0,8,0,0
97.4,31.6,1,0,0,0,0,0,1,0,0,0,-0,0,0,1,0,1,0,0,0,2015,0,0,3,0,2.5,2,1,1,0,0,3,0,0
88.5,10.3,1,0,0,0,0,0,1,0,0,1,-0,0,0,1,1,0,0,0,0,1950,0.013,0.001,1,1,1,2,0.5,1,0,0,5,1,0
92.5,24.9,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,2015,0.004,0.069,2,1,2.5,2,1,1,0,0,3,0,0
87.6,-14.5,1,0,0,0,0,0,0,1,0,1,-0.5,0,0,1,0,0,0,0,0,1979,0.143,0.013,2,1,0.25,2,0.5,1,1,0,5,0,0
88.2,37.7,1,0,0,0,0,1,0,1,0,1,-0,1,1,1,1,0,0,1,0,1969,0.143,0.038,1,3,0.6,1,0,1,0,0,1,0,0
93.4,13.9,1,0,0,0,0,0,1,0,0,0,-0.5,1,0,1,1,0,1,0,0,1979,0.004,0.001,2,0,1.6666666666666667,2,1,1,0,0,3,1,0
93.4,29.9,0,1,0,0,0,0,0,0,0,0,-0,1,0,1,0,0,0,0,0,2009,0,0,3,0,1.6666666666666667,2,1,1,0,0,0,0,0
